product	purchases
1101270	4714903310314
1027365	9555008600314
956710	4710367208648
477796	50853991
848602	4902430000864
102100	4710218360020
1383744	4710105002026
883665	4710734000318
418287	4901326030848
1073416	4714995012561
1400083	4712987106649
574655	4710583996008
1390933	4710589176886
1474220	4710032604706
992725	4710311107102
1411492	4712031000060
1539042	20087968
1561517	5010202190404
1313611	4710579100198
925488	4710088420596
1432411	4714381003128
1190809	4716447019401
313094	4711271000533
768023	4710644008725
1185881	4710126001275
865234	4710583996008
1440638	4002403005947
575010	4710363502009
524261	4710018008634
550017	4710363502009
814478	4710022101208
925365	4714499795076
929066	4714058833218
948852	4710722001259
1332292	4710367843009
760904	4971706811817
457415	4710094097768
524261	4710247006128
575010	4710046051107
1557756	4710530033039
1190809	4714381003128
1095661	4710091110491
1432411	4710323168016
313094	4710466101130
1432411	4710323168092
446464	4710498600632
864855	4710174041698
925488	4710084115526
1489811	4710762101025
929066	20513405
701532	20571320
221467	4711885070014
457415	4710030346103
1040333	4710105015125
1249798	4903065010563
1385922	4710088410139
524261	4710685440362
1123777	4710008251125
952798	4710347383228
313094	20570156
1557756	4710063131813
1403589	4710049000386
1142044	4973167470985
575010	4710094012686
1297232	4710094020193
768023	4901550152484
1127881	4710120001530
1190809	4711022100017
524261	4710549000480
1284614	4710192229931
1313611	4719090900072
925365	4710644876898
548960	4712031000145
532631	4710762502129
103619	4710154015206
1462203	4710311012413
1462203	9556121000319
1531084	4711703121416
1531084	4713045015910
1557756	4711271000014
1123777	4710475004224
1411492	8853061007073
1023268	4711001300032
1330182	4710473010012
575010	4711271000472
753562	4710176011040
321839	4710011405133
869058	4710043553024
1432411	4711119236025
1185881	4713754987614
655934	4710908131534
1185881	4710362010093
1123777	4714499460127
1053203	4712425010712
1161984	4710030110308
760904	7231254880206
254779	4710054150168
1411492	4710644006226
524261	4711160000989
1349559	4713720001016
715836	4710105015125
313094	4710168701720
1261509	4710046021544
100021	4710321871260
100021	4710677000864
538787	4710126012066
538787	4973167442876
1557756	4710175567111
1557756	4719474000237
469616	20570484
1123777	4710363502009
69946	4710734001469
925488	4710012722512
1095661	20563776
1023268	4714981011011
532631	4710254011627
1432411	4711985100017
903516	4710047504657
1185881	4713754987621
1427912	4710689220175
457415	4710960918029
221467	4902430041270
1297232	4710271000666
768023	4710017051075
33862	4710043981513
1266351	4711703210073
1541830	20570873
1427912	4710088410795
753562	4711520201124
1161984	7231254880206
760904	4717265990965
1123777	4710076432020
1427912	4710114168010
575010	4710084225676
1297232	4715368895088
864855	4710626521723
753562	4713888603466
1297232	4710174053691
948852	4712456117091
1123777	4710175566114
1427912	4901422038939
1123777	8993189210228
1062311	4711663700010
1349559	4710883000023
1185881	4710174053691
1023268	4713888603015
1435474	4710094004087
1435474	20392659
1244397	4710012312010
1440638	4714800502249
968775	4710321861209
194921	4710151200797
524261	4710823999707
915434	4710363032100
1350920	4710311972021
1095661	8804108010105
1362183	4710085120628
701532	8888021200256
550017	4710036012019
1161984	4710088412201
1193787	4713205070919
313094	4710030346059
1538649	4710022237501
1521580	20510169
693004	4712067899270
1467673	4710043101010
1165579	9555008600017
1275728	4713247002060
753562	4715140009351
1440638	4713003215154
575010	4711080010112
869058	4710114105046
